Responses,Types_R1,Tokens_R1,Hapax_R1,Types_R123,Tokens_R123,Hapax_R123
啼血,1,1,1,2,2,2
热,124,325,70,360,930,230
外套,24,50,16,64,132,42
印花,5,5,5,11,11,11
衣服,287,956,150,601,1970,325
白色,373,744,220,873,1954,548
t-shirt,1,1,1,1,1,1
衬衫,29,82,17,90,201,66
短袖,9,18,6,22,46,15
棉,13,14,12,34,43,27
穿着,17,22,14,42,60,35
裙子,86,159,52,214,444,127
宅男,9,16,6,31,48,23
李宁,6,6,6,12,16,9
穿,24,34,18,44,68,29
舒适,85,134,62,278,477,202
优衣库,8,10,6,16,21,13
宽大,12,15,10,26,39,20
半袖,1,1,1,3,3,3
时尚,56,130,38,153,326,110
棉线,3,3,3,4,5,3
大,308,554,210,557,1087,370
白T恤,4,4,4,4,5,3
商店里,1,1,1,1,1,1
T恤,10,11,9,24,27,21
领克,1,1,1,1,1,1
流血,28,42,21,121,197,84
夏天,152,462,83,384,1251,231
数字,106,287,57,221,648,130
二,16,56,12,49,116,35
唯一,20,28,16,51,85,41
个,19,26,13,33,64,19
一个,46,68,37,85,125,71
一毛不拔,2,2,2,5,5,5
横,9,9,9,12,13,11
一帆风顺,5,8,3,7,16,4
一个人,48,90,34,117,199,88
一生,11,12,10,42,47,38
第一,67,175,45,99,295,48
大地,40,71,27,93,154,70
单独,10,11,9,32,44,24
开始,63,134,46,175,342,128
诅咒,8,9,7,27,33,23
数组,5,5,5,5,5,5
壹,2,3,1,2,3,1
成绩,125,313,69,284,733,174
鸟,108,358,62,213,694,132
道德经,5,10,3,15,30,11
元,11,18,7,21,39,12
干脆,6,9,3,17,26,13
下意识,7,20,4,9,29,5
敲,12,18,10,22,36,18
刹那,5,12,4,11,31,8
两下,1,14,0,1,17,0
结束,123,334,89,341,840,233
一下子,3,5,2,6,12,4
打,97,192,67,161,315,109
等,11,13,10,24,29,22
看,53,123,34,136,257,102
闪电,28,81,19,55,177,38
敲击,7,7,7,15,24,11
啾,1,1,1,3,3,3
吓一跳,8,10,6,15,23,9
打球,13,15,11,29,37,22
轻松,52,67,44,198,276,154
就好,8,10,7,13,15,12
等一下,2,3,1,6,7,5
实验,494,851,360,905,1797,605
时间,296,835,181,765,2075,473
瞬间,17,46,9,44,104,26
马上,34,153,18,76,312,49
拳头,23,24,22,53,64,46
跳一下,1,2,0,1,2,0
想,63,108,45,124,203,91
动词的量词,1,1,1,1,1,1
烟花,25,80,16,73,183,49
一次,14,53,7,18,75,9
哈,32,83,21,59,137,38
迅速,25,42,17,83,142,61
子,83,165,46,110,239,53
突然,33,79,24,75,158,57
动,24,44,16,50,88,35
等会,2,2,2,5,5,5
咚,8,9,7,12,14,10
千丝万缕,1,1,1,4,4,4
小心翼翼,11,17,8,38,60,29
不拘一格,1,1,1,4,4,4
苟利国家生死以,4,5,3,11,13,10
苟且偷生,1,1,1,7,7,7
认真,63,146,44,200,402,150
严谨,39,50,33,130,181,106
没毛病,8,13,6,15,22,12
刻板,23,47,17,50,91,37
不狗,1,1,1,1,1,1
挑剔,8,13,7,20,29,19
一本正经,5,10,4,12,20,11
严肃认真,1,1,1,1,1,1
眼镜,117,235,85,289,627,187
西装,77,188,53,194,426,132
处女座,11,26,7,23,50,16
金边眼睛,1,1,1,1,1,1
油光锃亮,1,1,1,1,1,1
板正,4,4,4,16,16,16
爸爸,139,272,102,315,595,233
成语,36,51,30,64,115,42
洁癖,10,11,9,32,42,25
鬼畜眼镜,1,1,1,1,1,1
膜,15,29,10,33,67,23
眼睛,177,480,109,439,1110,302
细心,16,28,11,52,99,37
一丝不挂,1,3,0,3,8,2
脱光光,1,1,1,1,1,1
严丝合缝,1,1,1,3,3,3
认认真真,2,2,2,3,3,3
老师,295,846,180,701,2091,423
苟利国家,1,1,1,1,1,1
严肃,89,158,64,267,510,178
细致,25,40,17,62,109,42
人,1115,1920,778,2235,4093,1464
不敢苟同,1,1,1,1,1,1
蛋糕,86,300,53,217,637,142
两个,14,30,11,40,65,33
独立,44,85,33,143,287,98
苹果,165,384,108,319,799,215
好人,76,139,55,175,328,124
一些,8,13,6,14,23,9
面包,75,224,50,171,480,108
数量,47,74,33,110,207,71
app,11,23,7,27,46,20
一只,1,1,1,2,2,2
桃子,23,50,18,47,124,32
碗,46,124,21,108,309,64
猴,9,21,7,24,42,21
单一,9,10,8,31,38,24
二个,1,1,1,1,1,1
东西,130,300,85,277,616,185
老狐狸,1,1,1,5,5,5
爱好,42,125,30,121,277,92
散步,19,37,14,69,117,50
吃饭,284,571,181,629,1375,386
独,3,12,2,6,16,5
张蒙蒙,1,1,1,1,1,1
好,372,700,260,712,1309,510
孤独,93,269,55,367,789,259
开车,73,119,56,153,281,108
独处,5,5,5,30,33,28
两个人,28,35,23,67,88,55
张艺兴,17,19,16,35,40,32
休息,85,204,47,222,630,118
一张床,1,1,1,1,1,1
我喜欢,2,2,2,13,13,13
自由,183,366,133,588,1191,407
很孤单,1,1,1,1,1,1
猫,174,423,120,382,928,268
独自,15,30,11,56,101,45
火锅,64,161,38,172,472,103
日常,44,64,36,121,175,102
狗,202,594,135,430,1150,303
睡觉,193,607,99,507,1511,313
单身,30,54,22,85,139,65
自己,236,392,186,491,808,383
路人,17,25,16,57,75,50
哭,110,211,80,246,452,178
单身狗,22,41,17,42,77,31
听歌,10,12,8,39,48,32
也不怕,1,1,1,1,1,1
歌曲,144,257,99,299,561,211
自在,25,38,20,61,113,41
孤单,30,60,18,81,168,60
人类,160,232,133,410,622,326
不是,26,48,18,46,97,30
生活,264,544,187,719,1412,501
有点,7,12,6,13,22,9
零食,47,85,33,146,264,101
想法,143,229,103,350,628,251
很少,18,36,13,46,79,34
一点,15,29,12,28,48,23
钱,588,2036,267,1119,3896,564
很多,100,163,77,190,300,149
故事,134,253,106,359,662,264
糖果,31,47,22,82,147,55
小,120,182,96,342,560,248
some,1,1,1,1,2,0
水果,147,455,83,305,1012,173
something,1,1,1,1,1,1
好多,7,8,6,20,23,17
不是很多,1,1,1,1,1,1
食物,345,621,218,699,1474,402
有的,1,1,1,3,3,3
话题,15,23,11,40,66,30
些许,4,4,4,6,11,3
风气,9,11,8,21,36,16
一堆,7,11,6,11,16,10
少许,5,6,4,9,14,7
书,233,519,150,447,1000,293
知识,188,434,131,419,1049,237
适量,6,10,4,7,15,3
许多,15,20,12,26,44,18
吃的,154,219,114,281,400,209
梨,11,16,7,38,61,28
多个,6,6,6,14,14,14
事,28,39,21,87,131,63
有些,1,1,1,4,6,3
调料,12,19,6,32,63,15
日语,50,61,45,116,176,95
一人乐,1,1,1,1,1,1
我饮酒醉,1,6,0,1,7,0
饮酒,8,11,6,18,23,14
饮酒醉,1,3,0,1,3,0
独行,1,1,1,6,6,6
我饮酒醉了,1,1,1,1,1,1
两人,17,19,16,38,45,34
依然,5,32,2,7,47,3
孑然,1,1,1,1,1,1
夕阳,24,72,16,110,226,87
树林,62,92,48,125,210,88
很开心,5,5,5,8,8,8
众人,16,19,14,29,34,25
火柴人,4,4,4,5,7,4
原始人,10,23,6,22,43,12
行,29,64,21,71,145,47
无爱一身轻,1,1,1,1,1,1
荒芜一人,1,1,1,2,2,2
虚无缥缈,5,5,5,13,15,11
从简,1,1,1,1,1,1
所有,15,58,12,36,104,25
所以,28,116,17,57,193,34
可能,34,119,20,116,340,79
全部,25,83,11,51,179,34
多,152,236,121,373,589,285
目的,43,107,29,137,263,112
都好,4,4,4,7,7,7
安好,1,1,1,7,10,5
事物,42,48,38,121,158,100
红绿灯,38,108,24,91,305,51
刀,105,283,64,207,562,126
教育,127,242,88,344,645,247
一直,14,32,10,36,69,27
一期一振,1,1,1,1,1,1
任何,6,6,6,10,14,8
蛋糕切一下,1,1,1,1,1,1
宇宙,104,299,58,299,912,178
朋友,316,839,188,809,2025,511
世界,150,318,89,446,823,322
随心,1,1,1,4,4,4
包罗万象,2,2,2,8,8,8
完美,66,95,51,183,280,141
万物,11,19,9,24,39,19
权力,59,105,40,179,338,121
包容,18,31,12,65,113,47
幻想,81,132,58,174,319,121
鞋,43,100,26,110,224,76
鞋子,53,143,30,163,387,104
筷子,33,88,19,106,288,62
腿,63,112,44,138,262,98
袜子,35,89,22,87,223,53
一对,11,19,7,18,32,12
手,188,336,123,393,754,263
绣花鞋,2,2,2,4,5,3
成对,1,1,1,3,4,2
手套,18,39,14,65,118,50
成对成双,1,1,1,1,1,1
天天,10,15,8,16,25,13
辛苦,95,183,63,333,644,237
一日,2,3,1,3,4,2
累,187,352,129,540,1029,369
快乐,196,396,139,566,1125,387
一日之计在于晨,2,2,2,3,3,3
一年,7,7,7,15,20,11
一月,4,10,2,6,14,3
上学,61,81,54,148,213,115
时光飞逝,1,1,1,4,4,4
晚上,57,99,41,149,288,95
今天,20,65,15,33,103,23
阳光,153,346,103,527,1104,355
有意义,3,10,1,14,25,11
每天,11,18,9,29,43,23
周末,22,83,9,63,177,45
完整,26,52,14,63,139,39
一夜,2,3,1,2,3,1
开心,326,780,193,819,1991,511
无聊,167,277,136,498,900,356
天气,86,227,54,226,532,146
的,66,88,60,140,170,131
全日,1,1,1,1,1,1
疲惫,40,107,23,155,292,117
一日物语,1,1,1,1,1,1
阳光明媚,5,5,5,13,13,13
太阳,165,514,85,413,1364,240
昼夜,2,2,2,7,8,6
日,25,50,18,49,106,34
早晨,37,62,26,71,134,48
早起晚归,1,1,1,1,1,1
上午,5,18,2,11,30,7
白天,14,23,10,43,67,32
这,11,18,10,20,34,17
一天一夜,1,1,1,1,2,0
过完了,1,1,1,1,1,1
难忘的,1,1,1,1,1,1
粉红,33,46,28,75,101,61
有一天,4,4,4,7,8,6
到晚,1,1,1,1,1,1
忙碌,38,65,27,117,187,94
好的,115,195,87,203,360,150
做到,6,19,5,11,30,7
必须,27,58,18,87,161,68
会是,1,1,1,1,1,1
肯定,43,117,28,75,235,44
绝对,15,34,9,52,99,34
要做,2,2,2,2,3,1
信誓旦旦,3,5,2,6,10,4
好好的,1,1,1,5,5,5
不会,44,57,38,113,150,90
保证,10,12,8,24,35,19
确定,25,58,17,58,136,36
达成,14,33,8,26,51,20
可以,67,152,40,159,353,104
承诺,19,62,11,72,183,48
一言为定,1,1,1,2,2,2
来,24,59,15,59,123,44
下次,3,3,3,6,7,5
坚决,11,14,8,28,42,22
完成,74,129,54,178,338,119
定价,1,1,1,3,3,3
点头,24,40,18,45,89,28
办到,2,2,2,2,2,2
一心一意,5,5,5,12,14,11
坚定,39,95,31,83,184,60
实现,29,72,20,82,178,58
成功,175,333,128,445,913,279
要赢,2,2,2,2,2,2
毫无疑问,2,2,2,2,2,2
会的,1,1,1,1,1,1
去,16,48,11,48,106,36
东北,47,107,29,104,248,72
温暖,166,353,103,458,1065,291
团圆,17,26,11,46,96,26
父母,207,546,127,482,1148,298
家暴,24,45,13,59,121,37
要齐齐整整,1,1,1,1,1,1
团,12,16,10,21,27,17
两家人,1,1,1,1,1,1
和睦,21,39,13,50,90,34
户口本,6,31,2,16,59,9
心累,16,21,12,44,57,38
父亲,74,128,52,172,296,127
家庭,162,326,111,484,1000,314
树,167,395,107,350,831,214
全家福,4,5,3,11,13,10
打架,89,192,56,222,469,140
爸妈,38,44,34,73,91,60
老人,209,608,122,488,1347,295
团聚,7,8,6,44,55,36
同姓,1,1,1,1,1,1
交流,78,132,59,240,442,164
房子,191,507,104,384,1000,229
家人,139,245,100,381,750,239
一家亲,2,4,1,3,5,2
最重要的,2,2,2,3,3,3
和和睦睦,1,1,1,1,1,1
欢乐,47,61,36,113,159,88
伤心,122,296,67,319,733,214
团结,44,81,31,95,213,59
在一起,21,34,13,47,68,35
我,711,1154,529,1115,1894,776
我们这一家,1,1,1,1,1,1
亲戚,55,178,26,111,411,56
和谐,56,104,38,182,327,138
大家族,3,4,2,5,6,4
一双,5,15,2,9,23,5
情侣狗,1,1,1,1,1,1
翅膀,27,66,15,86,201,58
鸳鸯,8,11,6,13,23,8
情侣,114,213,78,227,515,140
耳环,14,34,7,28,95,14
夫妻,56,124,35,124,268,79
璧人,2,3,1,2,3,1
男女,116,213,77,217,429,136
一对一,2,3,1,8,9,7
cope,1,1,1,1,1,1
一大,1,1,1,1,1,1
爱人,117,186,90,291,499,212
燕子,15,22,13,43,67,32
黄鹂,4,9,2,9,18,5
一,44,79,37,66,127,53
夫妇,8,9,7,13,22,10
恋人,90,127,72,202,303,152
合适,34,100,21,77,207,48
活宝,1,1,1,2,3,1
对联,10,20,6,25,47,19
男人,298,452,213,632,1097,433
一起,31,45,24,87,149,60
两对,1,1,1,1,1,1
辅导班,1,1,1,6,6,6
鸽子,21,40,16,64,127,47
壁人,1,1,1,1,1,1
cp,10,11,9,19,25,16
墨守成规,7,9,6,23,30,20
万象待新,1,1,1,1,1,1
固执,32,67,19,80,182,53
成就,39,61,29,122,207,94
思想,203,348,137,482,895,330
瞬息万变,1,1,1,1,1,1
一尘不染,3,5,2,4,7,3
一事无成,3,4,2,8,11,7
死气沉沉,6,6,6,12,12,12
平凡,34,66,26,69,159,49
呆板,14,20,11,28,50,19
误区,1,1,1,4,4,4
千篇一律,1,2,0,11,12,10
始终如一,1,1,1,1,1,1
死水,6,6,6,8,8,8
变化万千,1,1,1,1,1,1
永恒,23,42,18,72,126,56
顽固,17,32,14,41,84,31
古板,19,30,11,43,70,32
不变,11,13,10,34,49,26
一碧如洗,1,1,1,1,1,1
保持,24,32,20,49,70,37
木头,114,245,61,239,616,132
乏味,12,27,8,31,61,23
墨守陈规,1,1,1,3,3,3
一丝不苟,4,4,4,14,18,11
守旧,9,11,8,21,30,14
本性,10,14,8,23,33,18
变化,52,110,37,150,294,104
推陈出新,2,2,2,5,5,5
保守,13,15,11,40,58,32
光阴荏苒,1,1,1,1,1,1
性格,181,318,119,389,745,262
工作,446,985,270,1050,2624,609
死板,24,41,15,61,109,45
铁脑筋,1,1,1,1,1,1
地球,101,248,67,218,584,133
默默无闻,6,12,5,10,17,9
啤酒,39,100,26,101,254,61
物品,102,178,72,252,421,192
简单,70,182,46,179,398,130
水,504,1485,270,985,3170,512
打闹,8,21,5,27,52,24
一杯,1,1,1,2,2,2
鸡蛋,98,258,61,175,543,107
十二,9,26,6,13,39,7
羽毛球,15,49,8,36,112,21
汽水,18,43,11,53,116,39
十二个,1,2,0,1,4,0
dozen,1,1,1,1,1,1
扑克,18,37,12,31,80,19
一捆,1,1,1,2,2,2
一叠,1,1,1,2,2,2
一摞,3,3,3,4,5,3
单位,50,117,35,110,261,71
一听,1,1,1,1,1,1
钞票,26,35,19,57,86,41
报纸,32,87,20,89,206,63
卷子,11,15,8,41,51,37
气泡水,2,2,2,5,7,4
十几个,1,1,1,1,1,1
原野,13,19,10,21,32,14
平原,25,53,16,51,131,31
田野,42,77,26,112,186,77
海,159,333,92,328,817,188
无垠,14,22,10,25,43,16
大海,180,502,87,372,1228,190
大草原,10,15,8,21,36,16
海子,8,11,6,20,28,18
草原,69,175,43,187,560,110
课文,14,32,10,38,75,29
波涛汹涌,3,3,3,14,19,12
宽广,32,86,23,60,152,42
天,46,84,36,112,192,88
远,29,72,22,102,164,86
万里无云,2,2,2,7,9,6
广阔,48,110,26,127,273,80
风轻云淡,1,1,1,2,2,2
无边无际,3,3,3,23,26,20
天空,153,321,95,416,973,255
海洋,140,292,80,292,736,172
边际,3,3,3,11,16,8
辽阔无边,1,1,1,1,1,1
一模一样,5,8,3,11,22,4
双胞胎,12,23,8,25,63,14
两样,1,1,1,1,1,1
相同,34,78,20,55,143,31
同样,6,8,4,14,25,10
一款,1,1,1,1,1,1
全等,1,1,1,3,3,3
双倍,1,1,1,2,2,2
痛,125,220,91,245,471,154
不同,54,118,39,140,281,98
一模,1,2,0,1,2,0
失败,140,279,97,430,809,305
统一,26,45,22,72,112,59
样子,12,18,10,35,50,27
雷同,3,3,3,6,6,6
一摸,1,1,1,1,1,1
都,8,12,5,18,32,14
大概,29,92,15,75,234,48
不一样,21,28,15,53,80,36
一摸一样,2,2,2,4,5,3
相似,22,68,14,52,138,33
天秤,10,15,8,15,26,11
我和你一样,1,1,1,1,1,1
一模一样吗,1,1,1,1,1,1
一样一样,1,1,1,1,1,1
性交,26,33,22,54,70,45
两次,5,23,3,5,26,3
完毕,8,10,6,13,20,8
创新,42,77,30,93,188,66
旅行,90,170,62,258,493,177
初次,2,2,2,6,9,3
下一次,2,2,2,10,12,8
第一次,10,14,7,19,29,14
记忆,68,158,46,179,431,120
紧张,118,225,78,343,706,225
机遇,13,24,10,52,94,42
机会,45,130,30,140,305,107
纸碗,1,1,1,1,1,1
频率,17,21,14,33,52,23
尝试,15,16,14,57,71,49
初恋,24,30,19,67,90,54
多次,7,18,3,18,36,12
经历,36,53,29,116,184,92
算数,20,36,13,38,80,20
考试,287,859,191,690,1884,441
做爱,65,114,43,138,239,97
十个,4,4,4,6,7,5
一次就好,1,1,1,1,1,1
而已,12,13,11,15,22,11
艳遇,5,8,2,11,17,6
少,49,103,37,119,230,83
大学,147,439,85,312,899,197
技术,76,130,52,186,378,122
学校,234,467,157,542,1160,350
顶尖,8,9,7,22,28,18
最高,9,9,9,15,19,13
高校,12,18,9,24,39,17
流浪,28,57,21,65,127,49
企业,55,106,38,121,233,83
剧本,15,16,14,41,64,28
一流的人,1,1,1,1,1,1
服务,37,78,28,107,218,70
优秀,127,256,88,310,672,199
二流,1,6,0,2,9,1
最好,10,18,8,21,42,16
水平,47,104,33,125,260,93
本科,9,18,5,20,46,12
双一流,1,1,1,1,3,0
华科,1,1,1,2,2,2
末流,1,1,1,1,2,0
厉害,181,320,130,511,954,354
品牌,23,33,20,96,134,77
人才,38,79,28,100,188,74
名门,2,2,2,4,6,2
名校,3,3,3,5,6,4
学生,172,320,120,424,923,267
城市,127,272,81,269,600,173
专业团队,1,1,1,1,1,1
人名,32,42,26,105,137,84
两点,3,7,1,7,15,5
糖,68,135,50,158,303,112
点,44,62,38,90,138,68
一点点,11,29,5,33,61,25
连线,6,6,6,8,11,7
力气,25,41,20,60,102,49
点墨,1,1,1,1,1,1
颜色,124,293,67,294,718,182
不多,7,8,6,26,30,24
浮云,3,3,3,9,10,8
红,126,207,93,265,437,192
一滴,2,3,1,2,4,1
少量,8,10,6,20,30,14
灵通,3,9,2,4,10,3
感觉,59,115,46,156,286,122
标点符号,5,10,3,10,22,5
二点,1,1,1,1,1,1
钟,17,25,12,33,52,24
奶茶,47,85,32,131,242,87
只吃一点,1,1,1,1,1,1
水花,13,22,10,29,54,20
尺子,39,115,22,65,242,31
一刻,2,2,2,3,3,3
零星,1,1,1,5,5,5
园,8,14,6,15,21,13
圈,26,42,20,56,87,43
四季春,1,1,1,2,2,2
好喝,26,44,16,53,121,28
一丝丝,1,1,1,1,1,1
雨,61,114,42,164,298,114
一丢丢,2,4,1,5,10,3
甜,118,394,57,240,923,121
点子,5,6,4,8,16,5
盐,40,78,31,86,178,61
省略号,6,6,6,15,32,7
一丁点,1,1,1,1,1,1
饼干,40,68,26,91,174,57
懒,33,44,29,106,141,89
精准,18,47,16,40,88,32
豆类,4,4,4,6,9,5
累积,8,12,5,12,18,9
稍微,2,5,1,7,11,6
辣椒,29,59,19,67,155,48
好吧,42,61,33,87,137,68
没有,270,439,210,533,856,416
吃,349,659,221,625,1270,367
狼藉,2,4,1,6,11,4
叶子,45,72,33,121,203,87
茫茫,3,3,3,6,6,6
森林,127,297,79,306,740,187
树叶,52,110,35,123,278,79
纸,130,233,86,272,570,159
雪,83,194,56,183,469,118
卫生巾,17,32,10,29,85,17
鸭肉,4,5,3,6,14,4
花,248,600,150,513,1234,326
黄花,2,3,1,6,7,5
稻田,23,28,19,47,69,34
云彩,10,11,9,39,48,33
片片,1,1,1,1,1,1
两片,1,1,1,1,1,1
花海,7,8,6,23,28,20
云,55,62,48,164,223,130
雪花,27,51,15,69,150,40
一片叶子,1,1,1,1,1,1
乌鸦,24,36,20,53,89,38
荒芜,16,27,11,46,75,31
土地,110,229,70,249,529,149
挚爱,4,6,2,10,13,8
一世,3,16,2,5,22,3
起伏,14,17,13,38,53,28
陪伴,23,35,18,98,151,74
漫长,24,30,21,77,107,62
牵手,12,13,11,46,56,39
永远,19,50,12,60,111,47
长,143,246,104,276,527,187
一辈子,9,15,6,30,47,24
匆匆,11,24,6,19,47,12
三宅一生,2,2,2,2,2,2
爱情,365,740,238,839,1788,543
墓碑,17,31,12,37,73,29
命途多舛,1,1,1,4,5,3
很短,6,14,3,13,23,10
长久,21,37,13,53,97,32
一生一世,5,7,4,7,12,4
专一,6,8,4,11,16,8
短暂,21,38,13,55,106,34
沉重,44,73,33,108,182,83
life,2,2,2,3,3,3
人生,222,379,165,612,1133,426
一了百了,1,4,0,1,5,0
一了,1,1,1,1,1,1
两千,2,2,2,2,2,2
分,9,13,7,20,32,14
人民币,38,108,24,80,237,51
两百,1,4,0,2,8,1
圆满,12,13,11,40,51,32
毛爷爷,11,26,5,18,49,11
一千,5,8,2,5,13,2
分数,33,55,23,96,180,66
二百,1,1,1,1,1,1
一百块钱,1,1,1,1,2,0
块,13,18,8,21,27,16
万,5,21,4,9,44,6
五十,3,4,2,7,8,6
一百个,1,1,1,1,1,1
十的十倍,1,1,1,1,1,1
约会,44,69,37,138,224,103
一百元,2,2,2,4,5,3
一百块,3,3,3,5,6,4
二十,4,7,3,7,11,5
百事,5,7,4,8,21,4
满分,14,49,8,35,91,24
一万,5,6,4,8,11,6
满意,20,33,15,51,96,36
满足,47,68,34,119,215,83
试卷,44,65,32,94,180,52
咯的,1,1,1,1,1,1
第一名,19,29,14,41,72,27
精英,31,58,23,82,137,62
很好,87,127,74,166,228,144
悲哀,31,37,29,98,145,80
进步,49,86,30,155,280,107
男友,20,32,19,46,66,42
考卷,7,7,7,13,13,13
好学生,12,15,10,25,33,20
高兴,115,227,82,244,545,168
小学,88,138,64,200,365,141
零分,5,5,5,11,14,8
表现,22,31,18,70,104,56
满点,2,2,2,4,4,4
总是,13,20,9,26,53,16
持久,10,15,7,21,37,16
持续,13,17,11,43,67,31
很安静,1,1,1,2,2,2
下雨,93,269,56,242,682,162
从未,1,1,1,2,2,2
坚持,60,157,37,227,520,146
前进,41,69,32,105,181,75
坚持做事情,1,1,1,1,1,1
变弯,1,1,1,2,2,2
往前走,3,3,3,5,5,5
到永远,1,1,1,1,1,1
很疼,4,5,3,10,11,9
以来,4,7,3,7,13,4
喜欢,177,301,142,643,997,509
都在,1,2,0,1,2,0
唠叨,18,31,12,44,83,27
直男,15,28,12,39,70,32
笔,83,194,47,215,491,142
萌妹子,4,4,4,9,10,8
走下去,2,3,1,2,3,1
这样,32,89,20,63,174,40
状态,50,70,43,150,212,128
等待,41,91,28,167,276,133
一弯,1,1,1,1,2,0
竹马,6,7,5,12,14,11
在,9,13,6,27,34,23
微笑,84,123,69,264,387,210
莞尔一笑,1,1,1,3,3,3
女孩,142,254,101,327,568,227
而过,3,11,2,3,13,2
倾城,4,9,3,6,14,4
奈何,2,3,1,4,6,3
莞尔,1,2,0,1,3,0
微微,2,3,1,4,8,3
菀莞,1,1,1,1,1,1
消失,33,65,21,119,207,93
一笑了之,1,2,0,2,4,1
笑声,22,32,18,42,67,33
笑一笑,1,1,1,1,1,1
一笑而过,2,4,1,2,5,1
笑意,1,1,1,4,4,4
原谅,26,73,18,71,184,44
了之,1,4,0,1,4,0
一笑倾城,1,2,0,2,3,1
一颦一笑,1,2,0,1,2,0
千金,4,4,4,11,14,8
喜剧,24,46,17,43,99,28
牙齿,53,147,32,123,329,84
泯恩仇,1,1,1,1,4,0
沧海,4,5,3,6,8,5
美人,71,113,53,184,296,143
微微一笑,2,2,2,3,3,3
造反,4,4,4,15,16,14
一座山,1,1,1,1,1,1
聚会,54,77,42,153,250,104
庸俗,11,16,8,24,33,21
排队,41,71,30,103,221,67
乌合之众,6,9,4,23,34,17
乱交,2,2,2,2,2,2
狂欢,10,13,7,28,40,22
开会,55,113,42,137,273,98
热闹,64,101,47,163,300,107
一堆人,2,2,2,2,2,2
空地,5,5,5,14,14,14
在飞,1,1,1,1,1,1
拥挤,63,141,38,148,349,98
人群,115,169,90,311,502,224
人人,3,4,2,7,9,5
很多人,18,20,16,63,71,56
游行,14,58,10,48,138,34
挤,21,32,14,55,109,30
嬉闹,2,2,2,4,5,3
神经病,32,55,25,81,128,66
黑色,281,485,198,628,1214,422
寂寞,30,95,23,105,232,84
一伙人,1,1,1,1,1,1
叽叽喳喳,9,11,7,23,34,19
有趣,100,163,80,321,503,244
远离,31,47,23,143,192,116
烦,139,174,118,372,523,291
搞事,10,16,7,25,31,22
人山人海,28,56,19,75,152,47
喧闹,18,19,17,53,64,46
广场舞,14,41,11,31,83,23
玩,81,114,66,212,312,166
一群人,8,10,7,23,26,21
讨论,35,93,21,118,285,71
同意,42,131,22,77,267,44
默契,3,6,2,17,26,15
意见,44,104,28,102,229,69
通过,28,57,18,73,156,49
意见一致,1,1,1,3,3,3
踏步,1,1,1,2,2,2
情绪,126,243,88,329,649,214
无争议,1,1,1,1,1,1
握手,20,46,13,69,134,48
步调,2,2,2,4,5,3
观点,46,80,31,108,208,72
一样,27,72,17,47,137,30
合作,52,172,27,178,469,110
精神契合,1,1,1,1,1,1
目标,78,151,62,219,466,151
观念,24,36,17,67,87,55
对外,5,12,2,13,25,10
赞成,8,10,6,14,24,8
想通,4,4,4,5,5,5
表达,40,67,27,131,214,98
合同,44,139,25,96,323,59
同一,1,1,1,2,2,2
与否,1,1,1,3,3,3
赞同,21,29,16,45,80,32
合理,23,38,19,83,117,72
普通,43,168,26,101,329,68
特殊,26,43,19,79,141,57
非常,37,110,25,73,209,52
平庸,13,25,10,50,81,39
平平常常,1,1,1,1,1,1
长相,14,21,11,49,69,38
还可以,6,6,6,17,22,13
特别,50,102,35,118,273,82
一般,30,66,19,100,184,76
二班,1,1,1,1,1,1
soso,2,2,2,2,2,2
就这样吧,5,6,4,13,16,10
平时,4,4,4,9,12,7
还好,16,19,14,30,39,25
一般般,5,8,3,9,16,6
心情,172,288,118,409,730,270
通常,6,7,5,14,18,10
搭伙,1,1,1,2,2,2
大家,30,53,26,94,146,74
走,66,123,45,154,299,104
一块,4,6,3,8,14,4
摇摆,12,26,9,28,54,22
起来,21,37,17,42,78,32
互助,7,8,6,33,39,28
成长,41,64,29,179,270,142
回家,81,183,62,247,488,186
突破,15,19,12,47,63,39
共同,9,16,5,39,59,32
一起摇摆,2,2,2,2,2,2
来玩,1,1,1,2,2,2
告白,29,44,19,64,107,47
逛街,16,19,13,67,107,49
死,110,178,87,222,339,173
分手,64,119,47,174,349,120
一同,2,2,2,4,4,4
相处,15,23,11,46,66,36
同步,2,2,2,9,9,9
做梦,31,47,21,81,136,61
干活,38,47,33,122,152,107
出去玩,9,10,8,19,22,17
一绪,1,1,1,1,1,1
几个人,1,1,1,1,1,1
结婚,134,450,65,285,928,159
痛苦,231,406,167,633,1192,436
我爱你,15,18,14,37,43,35
不存在,25,29,22,74,88,65
珍惜,28,43,23,96,149,73
生,27,53,22,53,98,37
婚姻,83,128,54,194,387,118
子虚乌有,3,3,3,4,4,4
梦想,133,255,93,387,694,283
结果,118,246,84,348,711,246
伴侣,24,30,20,74,108,60
相守,1,1,1,6,7,5
白发,25,47,16,71,137,47
和你,6,6,6,8,10,7
很长,22,22,22,34,41,28
爱,245,440,171,577,1036,407
长远,11,18,6,26,49,17
幸福,115,186,87,401,691,293
好无聊,1,1,1,1,1,1
结扎,3,5,2,4,7,3
理想,102,212,74,276,487,225
没孩子,1,1,1,2,3,1
孩子,224,447,146,563,1174,367
儿子,41,101,29,97,199,69
不结婚,1,3,0,1,4,0
领养,3,6,2,10,21,6
别墅,33,62,25,79,138,63
家族,25,42,21,69,131,53
休克,2,2,2,5,8,3
不生孩子,1,1,1,1,2,0
